"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"INA",758.480128781882,0.318111665097472,0.0712858090106533,-3.27023012989787,0.001074600230573,0.00408090757606275
"RBM17",2597.48138915212,-0.109218190805753,0.0549395023069239,-3.27007415943012,0.00107519292744522,0.00408221845127857
"SLC35A2",729.477055184245,0.195922301322902,0.0799467571037323,-3.26910810531946,0.00107887073126352,0.00409523934884449
"MVP",120.481882018448,0.259893090534864,0.119605673697664,3.26861283205021,0.00108076076378076,0.00410052617369132
"VASH1",863.305917275629,-0.239987243600422,0.0723628841660447,3.26863920421454,0.00108066004674329,0.00410052617369132
"FAM169A",1374.37428651511,-0.458355374741129,0.0731297008753749,-3.26798815982516,0.00108314896823964,0.0041086421189458
"PLK1",3086.17152940176,0.382900090600417,0.0627843077232353,-3.26720621612951,0.00108614532141186,0.00411906065441386
"KCMF1",1630.29974562267,0.0483883294280008,0.0643588090999176,-3.26478608645991,0.00109546773884692,0.00415345963604648
"CNRIP1",305.315402729702,-0.159392849814937,0.0951902322886733,-3.26442906936073,0.00109684922667856,0.00415774173652251
"CDKL1",78.1099253119562,-0.0514233252969648,0.12540023299032,3.26413853517622,0.00109797464584037,0.0041610514324093
"DOCK4",1037.78580575749,-0.205324155786382,0.067865771036817,-3.26311915976309,0.00110193177109908,0.00417508860572871
"ASPHD2",200.043688758875,0.0771007327969239,0.107147816785892,3.26256124150877,0.00110410314073924,0.00418235486913466
"FBXO42",1139.9276486781,-0.108940348205418,0.067105607617579,-3.26234716249621,0.00110493736761538,0.00418455384709081
"CAHM",68.289034044422,-0.0820057760736053,0.126884149403776,3.26153345558593,0.00110811355602172,0.00419561911833476
"FNTB",42.9549468638218,0.277952931777686,0.128544289287448,-3.26080825085939,0.00111095140166491,0.00420539854662827
"CHCHD8",1297.3946603746,-0.0297410901727775,0.0684104064421349,-3.26036028609803,0.00111270771763005,0.00421108040084268
"TAPBP",665.693922032955,0.308358725227366,0.0777471359347824,3.2600337463619,0.00111398958518568,0.00421496449379845
"CAPN1",1388.35669875345,-0.247293053241653,0.0660342786386214,-3.25916898321863,0.00111739090679669,0.00422686427197197
"POLA1",2413.08924204463,0.169822829573182,0.0568006762819974,-3.25852597773418,0.0011199262236388,0.00423548342271835
"CCL20",6.51131835860904,-0.178702461804062,0.0830302663556009,3.25757698798119,0.00112367772932804,0.00424772330731318
"EPT1",2547.85156560993,-0.333496832239235,0.0658069409231122,-3.25762386998695,0.00112349212491837,0.00424772330731318
"HSP90B3P",2129.31096150449,0.412640528196438,0.0614952803002044,3.25733101010792,0.00112465201275926,0.00425043209130122
"AP4E1",805.628035288608,-0.00754394448604023,0.0815944208701221,-3.25597856909826,0.00113002280572832,0.00426975169183897
"LOC550112",431.883706626809,-0.214353452191462,0.0856917771074644,-3.25479712972706,0.00113473391295644,0.00428481168505294
"RUVBL2",3826.76097196536,-0.0392679768948595,0.0628010677433492,-3.25479660031814,0.00113473602809107,0.00428481168505294
"SIGLEC14",4.80037930404026,-0.160849364727471,0.0765975104439312,3.25478360810215,0.00113478793671929,0.00428481168505294
"RPL23A",4481.54634083221,0.133800485270199,0.0643139522488631,-3.25421964037382,0.00113704330977453,0.00429234500071214
"DDX39A",2884.75432911858,0.0950587607605124,0.0676696130149313,-3.25358794230299,0.0011395744639868,0.00430091570584307
"KIAA1704",393.603370731369,-0.032633977768866,0.0936572667660146,3.25347312610155,0.00114003508060424,0.00430166977451517
"ZNF439",14.1090307986802,-0.242491551185324,0.108899044253096,3.25327710292352,0.00114082187898724,0.00430365399133957
"FUBP3",3448.99736278011,0.0478282840148721,0.0583443019797135,-3.25277514313013,0.00114283893553274,0.00431027728418511
"EDA",324.050760440749,-0.0903316848359974,0.09661273679194,3.252487995902,0.00114399427901959,0.00431266231859887
"HIST1H2AK",23.1404927415063,0.177939652301428,0.12111327676589,3.2525115701696,0.00114389938674767,0.00431266231859887
"MAGI2-AS3",1251.81991121607,-0.180643650759187,0.0744350599586285,3.25233054105047,0.00114462826045459,0.0043140662476411
"JDP2",97.3132434586253,0.018602905384271,0.123021934107448,3.25173276993294,0.00114703810388761,0.00432028769752129
"STARD9",495.48586973516,0.0677702328754233,0.0909325433441446,3.25172615314317,0.00114706480491395,0.00432028769752129
"THRA",611.226035691767,-0.656888804515267,0.0852254503938881,-3.2518200167347,0.00114668608670886,0.00432028769752129
"KIAA0753",898.212013994996,0.237394564183412,0.0678229528673601,-3.25148427341532,0.00114804126739566,0.00432199146842195
"NRXN3",382.455061272747,-0.353950079095234,0.0925684733527522,3.25152606302629,0.00114787250888455,0.00432199146842195
"SULT1A1",298.121964480631,-0.445413323924103,0.104308729590175,3.2508662600176,0.00115053966265269,0.0043304086390075
"MFGE8",1705.47812476554,0.0992937657795414,0.0680743589363794,3.25072684435588,0.00115110396188538,0.00433154406647856
"NUP88",1577.27528685699,0.163676047550434,0.0624442344123292,-3.25038714377194,0.00115248000614122,0.00433573283332281
"DUSP5",407.902571890499,-0.483920430217962,0.0883259607149652,-3.25019587243137,0.00115325546858128,0.00433766076244265
